AC,FEIJO,87.00
AC,RIO BRANCO,241.00
AC,RIO BRANCO,163.00
AC,PORTO ACRE,209.00
AL,PENEDO,124.00
AL,MACEIO,85.00
AL,OLIVENCA,341.00
AL,PORTO CALVO,124.00
AL,OLHO D'AGUA DO CASADO,124.00
AL,MARIBONDO,182.00
AL,PARIPUEIRA,131.00
AL,CAMPO ALEGRE,124.00
AL,MACEIO,248.00
AL,FLEXEIRAS,85.00
AL,CORURIPE,163.00
AL,GIRAU DO PONCIANO,377.00
AL,MACEIO,202.00
AL,BELO MONTE,329.00
AM,MANAUS,163.00
AM,SAO SEBASTIAO DO UATUMA,293.00
AM,SAO GABRIEL DA CACHOEIRA,422.00
AM,SANTA ISABEL DO RIO NEGRO,314.00
AM,GUAJARA,172.00
AM,MANAUS,333.00
AM,BORBA,85.00
AM,PARINTINS,752.00
AM,NOVA OLINDA DO NORTE,124.00
AM,TEFE,124.00
AM,ITACOATIARA,397.00
AM,CANUTAMA,427.00
AM,COARI,241.00
AP,AMAPARI,87.00
BA,IPIRA,124.00
BA,PORTO SEGURO,124.00
BA,EUCLIDES DA CUNHA,87.00
BA,MONTE SANTO,124.00
BA,UTINGA,362.00
BA,CAMACAN,85.00
BA,MURITIBA,87.00
BA,IBICUI,85.00
BA,SALVADOR,163.00
BA,SANTA MARIA DA VITORIA,124.00
BA,ANAGE,241.00
BA,PIRITIBA,499.00
BA,CANSANCAO,91.00
BA,JITAUNA,334.00
BA,FEIRA DE SANTANA,280.00
BA,BARRA,257.00
BA,MUCURI,163.00
BA,RIACHAO DO JACUIPE,85.00
BA,SALVADOR,46.00
BA,JEQUIE,202.00
BA,SALVADOR,172.00
BA,MEDEIROS NETO,85.00
BA,SALVADOR,242.00
BA,JUSSARI,163.00
BA,SALVADOR,124.00
BA,CANARANA,131.00
BA,TEIXEIRA DE FREITAS,87.00
BA,GONGOGI,427.00
BA,XIQUE-XIQUE,251.00
BA,ILHEUS,187.00
BA,SALVADOR,351.00
BA,JAGUARIPE,172.00
BA,CAMACARI,131.00
BA,SANTALUZ,202.00
BA,ALAGOINHAS,341.00
BA,CASTRO ALVES,85.00
BA,SAO FELIX DO CORIBE,170.00
BA,SERRINHA,124.00
BA,SALVADOR,39.00
BA,SALVADOR,39.00
BA,TUCANO,131.00
BA,ANTONIO CARDOSO,327.00
BA,LIVRAMENTO DE NOSSA SENHORA,124.00
BA,BOA VISTA DO TUPIM,342.00
BA,PRADO,124.00
BA,AMERICA DOURADA,209.00
BA,CANDIBA,172.00
BA,JUAZEIRO,190.00
BA,TEIXEIRA DE FREITAS,163.00
BA,ITABUNA,163.00
BA,FEIRA DE SANTANA,163.00
BA,ITIRUCU,241.00
BA,NORDESTINA,87.00
BA,SALVADOR,163.00
BA,EUNAPOLIS,172.00
BA,TEIXEIRA DE FREITAS,85.00
BA,CRUZ DAS ALMAS,39.00
BA,SALVADOR,124.00
BA,CAMACARI,202.00
BA,SALVADOR,171.00
BA,SALVADOR,257.00
BA,AMARGOSA,134.00
BA,JUAZEIRO,124.00
BA,OLIVEIRA DOS BREJINHOS,85.00
BA,SALVADOR,85.00
BA,BROTAS DE MACAUBAS,131.00
CE,PACATUBA,163.00
CE,FORTALEZA,163.00
CE,ARACOIABA,105.00
CE,MARANGUAPE,85.00
CE,TIANGUA,124.00
CE,MISSAO VELHA,124.00
CE,VICOSA DO CEARA,209.00
CE,GUARACIABA DO NORTE,306.00
CE,BEBERIBE,178.00
CE,ITAPIPOCA,85.00
CE,ARACATI,85.00
CE,MASSAPE,241.00
CE,IBICUITINGA,85.00
CE,ICO,274.00
CE,PARACURU,85.00
CE,BATURITE,163.00
CE,VARZEA ALEGRE,427.00
CE,NOVO ORIENTE,182.00
CE,BREJO SANTO,262.00
CE,OCARA,262.00
CE,MARACANAU,124.00
CE,IRAUCUBA,124.00
CE,ITAPIUNA,124.00
CE,ICAPUI,170.00
CE,QUIXADA,39.00
CE,ARACATI,224.00
CE,SAO BENEDITO,124.00
CE,CASCAVEL,85.00
CE,VICOSA DO CEARA,178.00
CE,FORTALEZA,172.00
CE,MAURITI,85.00
CE,CARIRE,342.00
CE,FORTALEZA,78.00
CE,QUIXADA,158.00
CE,SAO BENEDITO,85.00
CE,FORTALEZA,78.00
CE,BARREIRA,321.00
CE,JUAZEIRO DO NORTE,46.00
CE,ITAPIPOCA,124.00
CE,ACOPIARA,163.00
CE,PEREIRO,85.00
CE,SANTA QUITERIA,124.00
CE,URUOCA,346.00
CE,JUAZEIRO DO NORTE,241.00
CE,OCARA,224.00
DF,BRASILIA,85.00
DF,BRASILIA,78.00
DF,BRASILIA,252.00
DF,BRASILIA,163.00
DF,BRASILIA,39.00
DF,BRASILIA,87.00
ES,CARIACICA,124.00
ES,BOM JESUS DO NORTE,39.00
ES,VIANA,326.00
ES,IBATIBA,39.00
ES,JOAO NEIVA,202.00
ES,BREJETUBA,78.00
ES,MUNIZ FREIRE,124.00
ES,VITORIA,87.00
GO,LUZIANIA,294.00
GO,PORANGATU,39.00
GO,RUBIATABA,163.00
GO,ISRAELANDIA,131.00
GO,AGUAS LINDAS DE GOIAS,139.00
GO,VALPARAISO DE GOIAS,85.00
GO,SANTA HELENA DE GOIAS,202.00
GO,TRINDADE,202.00
GO,TURVELANDIA,124.00
GO,ANAPOLIS,241.00
MA,PALMEIRANDIA,426.00
MA,SAO LUIS,210.00
MA,CENTRO DO GUILHERME,233.00
MA,COLINAS,342.00
MA,MATOES,199.00
MA,SAO BERNARDO,172.00
MA,BURITI BRAVO,249.00
MA,COROATA,107.00
MA,COLINAS,87.00
MA,CARUTAPERA,85.00
MA,PACO DO LUMIAR,209.00
MA,ESPERANTINOPOLIS,241.00
MA,PARNARAMA,342.00
MA,BREJO,396.00
MA,ACAILANDIA,241.00
MA,LAGO DOS RODRIGUES,278.00
MA,VARGEM GRANDE,256.00
MA,CENTRAL DO MARANHAO,257.00
MA,MORROS,156.00
MA,SAO JOAO DOS PATOS,247.00
MA,SAO MATEUS DO MARANHAO,233.00
MA,SAO LUIS GONZAGA DO MARANHAO,227.00
MA,ALDEIAS ALTAS,356.00
MA,TUNTUM,197.00
MA,IGARAPE DO MEIO,596.00
MA,GOVERNADOR NUNES FREIRE,157.00
MA,SANTA LUZIA DO PARUA,341.00
MA,BALSAS,124.00
MA,ESPERANTINOPOLIS,387.00
MA,SANTA HELENA,290.00
MA,TIMON,163.00
MA,CODO,124.00
MA,CAJARI,341.00
MA,LAGO DOS RODRIGUES,278.00
MA,SAO LUIS,87.00
MA,GRAJAU,39.00
MA,SAO JOSE DE RIBAMAR,176.00
MA,CODO,124.00
MA,CAXIAS,179.00
MA,SANTA HELENA,258.00
MA,PACO DO LUMIAR,170.00
MA,MONCAO,209.00
MG,SIMONESIA,78.00
MG,TEOFILO OTONI,170.00
MG,RIBEIRAO DAS NEVES,39.00
MG,BETIM,241.00
MG,BELO HORIZONTE,156.00
MG,BRASILIA DE MINAS,193.00
MG,ITAPAGIPE,85.00
